0.25025,0.40993,0.33981
0.30877,0.3736,0.31763
0.27587,0.32278,0.40135
0.27268,0.41876,0.30856
0.37242,0.34663,0.28095
0.40264,0.38474,0.21262
0.20607,0.21097,0.58296
0.28727,0.34526,0.36747
0.24758,0.30417,0.44825
0.34783,0.34802,0.30415
0.52935,0.27098,0.19967
0.26056,0.4446,0.29484
0.27927,0.42135,0.29938
0.40119,0.34913,0.24969
0.24263,0.44359,0.31378
0.28236,0.33726,0.38037
0.3033,0.26452,0.43219
0.41577,0.2947,0.28953
0.37527,0.22243,0.4023
0.25655,0.29185,0.4516
0.33956,0.33109,0.32935
0.33696,0.32119,0.34185
0.40573,0.3021,0.29217
0.28277,0.35154,0.36569
0.5904,0.075557,0.33404
0.49412,0.50588,0
1,0,0
0.33676,0.39649,0.26675
0.22699,0.46479,0.30823
0.19996,0.46063,0.33941
0.25814,0.35238,0.38948
0.43045,0.24483,0.32472
0.27268,0.41876,0.30856
0.37447,0.30407,0.32146
0.30765,0.33788,0.35446
0.30384,0.31108,0.38508
0.31397,0.36557,0.32045
0.49412,0.50588,0
0,0,1
0.20838,0.32002,0.4716
0.33105,0.40672,0.26223
0.20956,0.37546,0.41498
0.30147,0.30865,0.38988
0.3531,0.3615,0.2854
0.24135,0.57657,0.18207
0.30217,0.33147,0.36636
0.33247,0.34039,0.32714
0.54224,0.18505,0.27271
0.30952,0.31689,0.37359
0.26433,0.25709,0.47858
0.32291,0.32349,0.35361
0.3986,0.33608,0.26532
0.19783,0.35445,0.44772
0.28961,0.42542,0.28497
0.38881,0.24708,0.36411
0.28654,0.28114,0.43232
0.34467,0.35287,0.30246
0.32489,0.35342,0.32169
0.30181,0.41555,0.28264
0.32868,0.35253,0.31879
0.38633,0.30955,0.30412
0.21299,0.37383,0.41318
0.1922,0.59032,0.21749
0.32971,0.39894,0.27134
0.28569,0.58499,0.12931
0.5059,0.064744,0.42935
0.24561,0.75439,0
0,1,0
0.33594,0.34394,0.32012
0.5035,0.15465,0.34185
0.28858,0.22159,0.48983
0.48269,0.27455,0.24276
0.58192,0.19859,0.21949
0.3414,0.34953,0.30906
0.31104,0.26158,0.42738
0.33847,0.31044,0.35109
0.3931,0.29747,0.30944
0.26732,0.34026,0.39242
0,1,0
0,1,0
0.32813,0.67188,0
0.33594,0.34394,0.32012
0.29237,0.34922,0.35841
